Date,Temperature_C,Humidity_%,Pressure_hPa,WindSpeed_kmh,CloudCover_%,Visibility_km,WindDirection,Rainfall_mm,WeatherCondition,RainToday,RainTomorrow,HighHumidity,HighWind,HighCloudCover,LowPressure,TemperatureGroup
2025-02-01,38.1,78.6,1000.4,5.3,13,7.5,SE,1.8,Sunny,No,No,Yes,No,No,Yes,High
2025-02-02,26.9,93.4,1011.5,19.0,65,10.1,E,25.2,Heavy Rain,Yes,Yes,Yes,No,No,No,Moderate
2025-02-03,20.7,48.2,1003.5,20.9,71,10.9,N,0.3,Cloudy,No,Yes,No,No,Yes,Yes,Moderate
2025-02-04,31.9,98.0,1007.4,20.5,43,5.6,N,16.1,Light Rain,Yes,Yes,Yes,No,No,Yes,High
2025-02-05,19.7,36.8,1012.3,24.6,94,4.0,W,4.4,Cloudy,No,No,No,No,Yes,No,Low
2025-02-06,28.3,65.6,1006.0,22.7,24,2.5,E,1.4,Sunny,No,Yes,No,No,No,Yes,Moderate
2025-02-07,15.2,77.4,1009.3,19.7,18,9.5,S,1.5,Sunny,No,Yes,Yes,No,No,No,Low
2025-02-08,19.0,72.5,1019.0,15.4,61,4.7,E,17.5,Light Rain,Yes,No,Yes,No,No,No,Low
2025-02-09,28.2,58.0,1008.0,2.7,81,1.5,NW,17.9,Light Rain,Yes,Yes,No,No,Yes,No,Moderate
2025-02-10,31.4,64.7,1017.8,19.4,97,9.2,E,0.1,Cloudy,No,Yes,No,No,Yes,No,High
2025-02-11,28.0,60.1,1004.1,17.7,44,15.0,SE,0.1,Partly Cloudy,No,Yes,No,No,No,Yes,Moderate
2025-02-12,26.3,58.6,1015.7,18.2,82,8.0,W,5.4,Light Rain,No,Yes,No,No,Yes,No,Moderate
2025-02-13,25.2,81.6,1022.1,5.8,54,10.5,W,5.6,Light Rain,Yes,Yes,Yes,No,No,No,Moderate
2025-02-14,18.1,73.7,994.7,7.4,51,8.2,NE,1.1,Partly Cloudy,No,Yes,Yes,No,No,Yes,Low
2025-02-15,22.7,56.9,1006.4,24.4,77,7.7,W,22.2,Heavy Rain,Yes,Yes,No,No,Yes,Yes,Moderate
2025-02-16,24.2,82.4,1016.0,15.7,71,10.8,SE,5.2,Light Rain,Yes,Yes,Yes,No,Yes,No,Moderate
2025-02-17,33.3,72.9,1010.6,21.5,16,7.1,S,2.7,Sunny,Yes,No,Yes,No,No,No,High
2025-02-18,29.1,81.0,1014.6,16.2,92,8.8,NE,8.1,Light Rain,Yes,Yes,Yes,No,Yes,No,Moderate
2025-02-19,16.4,78.1,1007.8,16.2,90,9.0,N,9.8,Light Rain,Yes,Yes,Yes,No,Yes,Yes,Low
2025-02-20,28.9,54.7,1012.6,23.5,39,6.0,SW,0.4,Partly Cloudy,No,No,No,No,No,No,Moderate
2025-02-21,24.7,59.0,1010.9,11.9,65,11.0,S,8.7,Light Rain,Yes,Yes,No,No,No,No,Moderate
2025-02-22,22.9,80.0,1020.2,16.8,67,7.5,SE,0.0,Partly Cloudy,No,No,Yes,No,No,No,Moderate
2025-02-23,30.7,77.8,1013.8,12.3,62,5.7,SW,0.4,Partly Cloudy,No,No,Yes,No,No,No,High
2025-02-24,33.2,67.7,1014.4,12.5,41,9.6,W,7.2,Light Rain,Yes,No,No,No,No,No,High
2025-02-25,32.6,69.9,1009.1,13.5,38,5.3,NE,18.7,Light Rain,Yes,Yes,No,No,No,No,High
2025-02-26,22.0,88.4,1008.6,17.8,54,8.1,SW,33.8,Heavy Rain,Yes,Yes,Yes,No,No,No,Moderate
2025-02-27,25.1,58.5,1009.0,12.2,84,8.0,NE,21.8,Heavy Rain,Yes,No,No,No,Yes,No,Moderate
2025-02-28,29.0,76.8,1014.8,26.0,69,11.3,W,3.6,Partly Cloudy,Yes,Yes,Yes,Yes,No,No,Moderate
2025-03-01,32.9,64.8,1009.1,8.8,46,9.4,SW,10.4,Light Rain,Yes,Yes,No,No,No,No,High
2025-03-02,24.1,64.5,1014.0,14.5,74,7.9,NW,16.7,Light Rain,Yes,No,No,No,Yes,No,Moderate
2025-03-03,25.9,85.6,1026.5,12.5,0,10.5,N,0.8,Sunny,No,No,Yes,No,No,No,Moderate
2025-03-04,20.4,81.2,1018.1,27.6,84,12.2,N,12.2,Light Rain,Yes,Yes,Yes,Yes,Yes,No,Moderate
2025-03-05,19.8,81.0,1009.7,17.6,12,9.7,E,0.0,Sunny,No,No,Yes,No,No,No,Low
2025-03-06,31.9,88.9,1020.4,24.3,46,8.0,E,1.5,Partly Cloudy,No,Yes,Yes,No,No,No,High
2025-03-07,35.1,68.3,1009.1,4.1,27,4.1,E,0.8,Partly Cloudy,No,No,No,No,No,No,High
2025-03-08,26.6,78.9,997.7,18.1,23,4.8,NW,18.8,Light Rain,Yes,Yes,Yes,No,No,Yes,Moderate
2025-03-09,33.0,63.0,1004.9,23.1,84,7.1,E,9.0,Light Rain,Yes,No,No,No,Yes,Yes,High
2025-03-10,29.2,73.2,998.9,16.7,43,6.2,E,5.5,Light Rain,Yes,Yes,Yes,No,No,Yes,Moderate
2025-03-11,23.1,65.9,1009.5,24.5,64,7.4,W,19.0,Light Rain,Yes,No,No,No,No,No,Moderate
2025-03-12,29.2,69.6,1012.1,11.9,54,8.2,SE,0.7,Partly Cloudy,No,No,No,No,No,No,Moderate
2025-03-13,36.2,77.5,1023.7,27.3,67,9.6,W,13.9,Light Rain,Yes,Yes,Yes,Yes,No,No,High
2025-03-14,26.8,54.9,1014.3,34.4,57,7.8,N,1.1,Partly Cloudy,No,Yes,No,Yes,No,No,Moderate
2025-03-15,36.4,98.0,1010.5,13.1,23,9.5,S,22.4,Heavy Rain,Yes,No,Yes,No,No,No,High
2025-03-16,11.3,51.9,1017.8,12.4,80,8.2,N,1.0,Cloudy,No,No,No,No,Yes,No,Low
2025-03-17,31.9,48.6,996.5,27.6,43,2.1,N,0.4,Partly Cloudy,No,Yes,No,Yes,No,Yes,High
2025-03-18,27.5,86.5,1013.6,28.6,16,5.2,NW,0.2,Sunny,No,Yes,Yes,Yes,No,No,Moderate
2025-03-19,25.2,80.7,1017.4,11.8,44,7.6,NE,0.7,Partly Cloudy,No,Yes,Yes,No,No,No,Moderate
2025-03-20,27.6,78.0,1001.6,12.6,93,4.4,S,14.5,Light Rain,Yes,Yes,Yes,No,Yes,Yes,Moderate
2025-03-21,15.1,78.1,1020.0,13.7,76,9.8,SE,2.1,Cloudy,No,No,Yes,No,Yes,No,Low
2025-03-22,25.7,67.8,1014.4,5.2,46,12.6,E,0.3,Partly Cloudy,No,Yes,No,No,No,No,Moderate
2025-03-23,29.1,53.6,1009.1,8.7,46,11.7,NW,0.6,Partly Cloudy,No,No,No,No,No,No,Moderate
2025-03-24,35.9,69.2,1016.4,8.0,47,7.4,N,0.2,Partly Cloudy,No,No,No,No,No,No,High
2025-03-25,23.9,57.2,1027.9,9.9,100,12.5,SW,9.6,Light Rain,Yes,Yes,No,No,Yes,No,Moderate
2025-03-26,22.1,83.6,1013.3,15.7,65,8.4,NW,6.9,Light Rain,Yes,Yes,Yes,No,No,No,Moderate
2025-03-27,24.0,65.6,1013.7,17.9,66,7.0,S,0.8,Partly Cloudy,No,Yes,No,No,No,No,Moderate
2025-03-28,32.5,54.8,1008.8,28.4,81,6.2,NW,1.3,Cloudy,No,Yes,No,Yes,Yes,No,High
2025-03-29,29.0,62.9,1006.1,8.0,61,7.1,N,1.0,Partly Cloudy,No,No,No,No,No,Yes,Moderate
2025-03-30,23.8,74.6,1017.8,23.9,49,6.8,SE,0.7,Partly Cloudy,No,No,Yes,No,No,No,Moderate
2025-03-31,30.1,59.0,1006.0,14.3,50,8.5,E,10.5,Light Rain,Yes,No,No,No,No,Yes,High
2025-04-01,27.6,54.8,1012.5,15.6,53,8.5,SW,0.5,Partly Cloudy,No,No,No,No,No,No,Moderate
2025-04-02,32.8,71.9,1008.7,21.4,54,8.0,NW,5.9,Light Rain,Yes,Yes,Yes,No,No,No,High
2025-04-03,22.8,71.9,1015.4,7.0,73,9.3,E,0.9,Cloudy,No,No,Yes,No,Yes,No,Moderate
2025-04-04,25.0,59.9,1014.3,19.1,56,11.6,SW,8.5,Light Rain,Yes,Yes,No,No,No,No,Moderate
2025-04-05,24.6,60.5,1019.3,17.3,73,10.8,NE,2.3,Cloudy,No,No,No,No,Yes,No,Moderate
2025-04-06,18.2,71.7,1008.4,19.9,53,3.5,S,0.1,Partly Cloudy,No,Yes,Yes,No,No,No,Low
2025-04-07,28.8,44.8,1010.1,18.3,57,1.0,SE,0.6,Partly Cloudy,No,No,No,No,No,No,Moderate
2025-04-08,28.6,45.5,1005.1,35.6,5,10.8,NW,0.9,Sunny,No,No,No,Yes,No,Yes,Moderate
2025-04-09,27.0,56.5,1008.9,10.9,78,3.9,SW,9.1,Light Rain,Yes,Yes,No,No,Yes,No,Moderate
2025-04-10,25.6,64.6,1014.6,11.8,64,7.3,E,0.8,Partly Cloudy,No,No,No,No,No,No,Moderate
2025-04-11,18.5,73.0,1017.3,11.0,80,4.5,NE,34.7,Heavy Rain,Yes,Yes,Yes,No,Yes,No,Low
2025-04-12,24.5,91.6,1005.5,11.6,0,2.6,NE,0.1,Sunny,No,No,Yes,No,No,Yes,Moderate
2025-04-13,24.9,81.7,1018.1,10.9,100,9.6,E,0.8,Cloudy,No,No,Yes,No,Yes,No,Moderate
2025-04-14,22.2,65.4,1021.5,25.5,52,10.3,E,0.7,Partly Cloudy,No,No,No,Yes,No,No,Moderate
2025-04-15,26.0,67.7,1014.9,27.4,83,6.3,W,0.2,Cloudy,No,No,No,Yes,Yes,No,Moderate
2025-04-16,29.4,52.0,1025.1,11.4,29,1.0,S,1.0,Partly Cloudy,No,No,No,No,No,No,Moderate
2025-04-17,38.3,67.7,1006.6,9.3,70,6.4,S,6.5,Light Rain,Yes,Yes,No,No,Yes,Yes,High
2025-04-18,28.0,63.4,1003.3,19.8,29,9.2,NE,2.3,Partly Cloudy,Yes,Yes,No,No,No,Yes,Moderate
2025-04-19,28.5,73.2,999.5,11.6,39,3.6,W,1.5,Partly Cloudy,No,Yes,Yes,No,No,Yes,Moderate
2025-04-20,26.6,54.8,1022.5,21.1,100,8.6,SW,13.2,Light Rain,Yes,Yes,No,No,Yes,No,Moderate
2025-04-21,15.5,76.3,1016.6,17.6,50,8.0,N,0.0,Partly Cloudy,No,Yes,Yes,No,No,No,Low
2025-04-22,26.8,92.5,1011.6,3.9,60,9.7,SW,16.2,Light Rain,Yes,Yes,Yes,No,No,No,Moderate
2025-04-23,27.4,66.3,1014.0,28.4,77,8.4,S,14.7,Light Rain,Yes,Yes,No,Yes,Yes,No,Moderate
2025-04-24,41.8,74.4,1004.1,30.4,67,5.1,N,9.1,Light Rain,Yes,Yes,Yes,Yes,No,Yes,High
2025-04-25,25.8,79.0,1029.1,11.1,59,11.6,SE,1.5,Partly Cloudy,No,No,Yes,No,No,No,Moderate
2025-04-26,28.8,61.6,1012.9,12.9,64,7.5,S,1.3,Partly Cloudy,No,No,No,No,No,No,Moderate
2025-04-27,26.8,71.6,1012.8,18.3,100,7.9,NE,2.6,Cloudy,No,No,Yes,No,Yes,No,Moderate
2025-04-28,20.0,68.2,1017.1,18.7,54,5.2,NW,0.6,Partly Cloudy,No,No,No,No,No,No,Low
2025-04-29,33.9,69.6,1015.4,21.3,60,6.7,W,0.5,Partly Cloudy,No,Yes,No,No,No,No,High
2025-04-30,31.5,55.6,1013.6,32.1,81,5.3,SW,0.4,Cloudy,No,Yes,No,Yes,Yes,No,High
2025-05-01,31.7,68.4,1006.5,14.6,83,7.5,SE,6.5,Light Rain,Yes,Yes,No,No,Yes,Yes,High
2025-05-02,21.5,76.0,1015.3,9.6,85,13.1,SE,20.4,Heavy Rain,Yes,Yes,Yes,No,Yes,No,Moderate
2025-05-03,35.4,91.2,1025.2,5.0,71,3.9,SW,0.3,Cloudy,No,No,Yes,No,Yes,No,High
2025-05-04,18.6,83.3,1021.4,10.2,26,3.2,S,2.0,Partly Cloudy,No,No,Yes,No,No,No,Low
2025-05-05,30.5,98.0,1023.2,15.7,96,12.4,N,29.7,Heavy Rain,Yes,Yes,Yes,No,Yes,No,High
2025-05-06,40.1,55.7,1008.4,30.4,26,7.4,S,0.7,Partly Cloudy,No,No,No,Yes,No,No,High
2025-05-07,21.1,82.0,1005.1,11.9,63,6.0,W,0.4,Partly Cloudy,No,Yes,Yes,No,No,Yes,Moderate
2025-05-08,23.6,70.9,1011.1,17.8,36,11.1,SE,29.0,Heavy Rain,Yes,Yes,Yes,No,No,No,Moderate
2025-05-09,27.6,98.0,1012.4,15.9,53,6.2,N,10.8,Light Rain,Yes,Yes,Yes,No,No,No,Moderate
2025-05-10,24.0,55.1,1019.7,25.5,63,13.5,W,0.4,Partly Cloudy,No,No,No,Yes,No,No,Moderate
2025-05-11,17.7,54.6,1000.2,36.2,63,10.0,NE,12.3,Light Rain,Yes,Yes,No,Yes,No,Yes,Low
2025-05-12,27.4,58.4,1022.7,11.8,66,6.5,E,0.7,Partly Cloudy,No,No,No,No,No,No,Moderate
2025-05-13,20.6,34.0,1010.9,12.1,95,14.5,NE,24.3,Heavy Rain,Yes,No,No,No,Yes,No,Moderate
2025-05-14,29.8,59.6,1009.0,24.4,66,6.2,E,40.7,Heavy Rain,Yes,No,No,No,No,No,Moderate
2025-05-15,21.5,55.9,1004.9,21.5,49,10.2,W,0.9,Partly Cloudy,No,No,No,No,No,Yes,Moderate
2025-05-16,36.3,70.4,1000.4,30.8,79,8.9,S,9.5,Light Rain,Yes,Yes,Yes,Yes,Yes,Yes,High
2025-05-17,22.3,73.5,1017.8,20.7,85,11.9,NE,1.6,Cloudy,No,No,Yes,No,Yes,No,Moderate
2025-05-18,25.1,98.0,1012.5,13.1,24,12.7,W,7.4,Light Rain,Yes,Yes,Yes,No,No,No,Moderate
2025-05-19,31.9,83.2,1003.0,20.7,70,8.1,W,8.0,Light Rain,Yes,Yes,Yes,No,Yes,Yes,High
2025-05-20,19.6,58.8,1002.9,24.9,73,5.7,W,1.1,Cloudy,No,Yes,No,No,Yes,Yes,Low
2025-05-21,28.4,53.6,1009.6,22.6,48,9.4,E,0.3,Partly Cloudy,No,No,No,No,No,No,Moderate
2025-05-22,34.8,75.9,1023.7,20.1,89,6.0,SE,1.3,Cloudy,No,Yes,Yes,No,Yes,No,High
2025-05-23,17.4,46.9,1010.2,24.5,51,14.0,NW,4.7,Partly Cloudy,No,No,No,No,No,No,Low
2025-05-24,28.1,97.3,1001.5,25.4,58,8.4,W,19.8,Light Rain,Yes,Yes,Yes,Yes,No,Yes,Moderate
2025-05-25,28.6,86.9,1010.3,27.1,51,6.9,N,19.4,Light Rain,Yes,Yes,Yes,Yes,No,No,Moderate
2025-05-26,31.7,60.5,1010.1,21.2,55,8.6,N,0.8,Partly Cloudy,No,No,No,No,No,No,High
2025-05-27,19.6,40.6,993.1,14.7,28,4.0,SE,4.8,Partly Cloudy,Yes,Yes,No,No,No,Yes,Low
2025-05-28,19.1,89.7,1011.6,17.2,19,5.1,NW,0.5,Sunny,No,No,Yes,No,No,No,Low
2025-05-29,30.1,66.2,1010.4,25.7,95,11.6,S,14.4,Light Rain,Yes,No,No,Yes,Yes,No,High
2025-05-30,28.8,87.8,1016.9,9.5,34,6.0,S,28.1,Heavy Rain,Yes,Yes,Yes,No,No,No,Moderate
2025-05-31,28.5,42.5,1024.9,18.9,30,4.9,NE,0.3,Partly Cloudy,No,No,No,No,No,No,Moderate
2025-06-01,29.1,58.4,1019.9,12.9,1,9.6,SW,17.3,Light Rain,Yes,No,No,No,No,No,Moderate
2025-06-02,22.9,68.1,1010.1,16.2,39,11.6,W,3.0,Partly Cloudy,No,No,No,No,No,No,Moderate
2025-06-03,28.4,68.8,1004.3,26.2,22,10.2,SE,4.3,Sunny,Yes,Yes,No,Yes,No,Yes,Moderate
2025-06-04,28.8,60.8,1030.0,17.5,96,11.0,W,22.4,Heavy Rain,Yes,No,No,No,Yes,No,Moderate
2025-06-05,22.7,78.0,1012.4,16.4,80,5.7,NW,2.2,Cloudy,No,Yes,Yes,No,Yes,No,Moderate
2025-06-06,38.2,50.9,1012.1,5.1,38,3.7,NE,7.5,Light Rain,Yes,No,No,No,No,No,High
2025-06-07,29.8,65.7,1011.8,22.0,100,12.5,S,0.4,Cloudy,No,Yes,No,No,Yes,No,Moderate
2025-06-08,19.9,69.9,1013.4,21.2,80,7.0,E,24.8,Heavy Rain,Yes,Yes,No,No,Yes,No,Low
2025-06-09,30.9,76.2,1011.0,33.3,47,7.2,W,14.3,Light Rain,Yes,Yes,Yes,Yes,No,No,High
2025-06-10,21.2,79.4,1008.0,13.5,0,12.0,S,0.2,Sunny,No,No,Yes,No,No,No,Moderate
2025-06-11,31.7,50.0,1008.2,17.8,100,9.7,SW,9.5,Light Rain,Yes,Yes,No,No,Yes,No,High
2025-06-12,34.0,43.5,1011.8,18.0,20,9.4,W,0.3,Sunny,No,No,No,No,No,No,High
2025-06-13,22.1,88.4,1008.2,28.6,14,14.5,SE,0.1,Sunny,No,No,Yes,Yes,No,No,Moderate
2025-06-14,32.8,73.3,1007.0,15.2,81,6.1,NW,11.3,Light Rain,Yes,Yes,Yes,No,Yes,Yes,High
2025-06-15,29.5,56.0,1012.7,18.2,100,10.8,S,0.1,Cloudy,No,No,No,No,Yes,No,Moderate
2025-06-16,31.9,92.8,1010.2,20.9,90,8.2,NE,17.8,Light Rain,Yes,Yes,Yes,No,Yes,No,High
2025-06-17,38.4,69.9,1022.5,17.5,69,8.8,SW,10.9,Light Rain,Yes,No,No,No,No,No,High
2025-06-18,25.5,86.9,993.4,12.4,70,12.6,W,8.6,Light Rain,Yes,No,Yes,No,Yes,Yes,Moderate
2025-06-19,22.5,69.1,1019.6,17.6,76,9.5,E,0.5,Cloudy,No,No,No,No,Yes,No,Moderate
2025-06-20,21.7,98.0,1020.7,24.6,74,9.6,W,0.3,Cloudy,No,Yes,Yes,No,Yes,No,Moderate
2025-06-21,22.1,96.1,997.5,7.8,62,11.2,NW,19.5,Light Rain,Yes,Yes,Yes,No,No,Yes,Moderate
2025-06-22,26.5,64.0,1009.6,17.1,58,6.9,E,0.3,Partly Cloudy,No,No,No,No,No,No,Moderate
2025-06-23,29.0,83.5,1009.4,10.4,53,5.5,NW,12.8,Light Rain,Yes,Yes,Yes,No,No,No,Moderate
2025-06-24,28.7,78.3,1002.1,25.6,36,4.9,NE,17.6,Light Rain,Yes,Yes,Yes,Yes,No,Yes,Moderate
2025-06-25,32.0,89.9,1006.6,3.8,48,2.1,NE,11.8,Light Rain,Yes,Yes,Yes,No,No,Yes,High
2025-06-26,27.1,52.6,1004.2,11.5,13,14.2,NE,0.2,Sunny,No,No,No,No,No,Yes,Moderate
2025-06-27,35.7,79.0,1024.3,19.0,53,4.7,NW,0.4,Partly Cloudy,No,Yes,Yes,No,No,No,High
2025-06-28,25.4,84.9,1018.5,28.5,30,7.3,SW,0.9,Partly Cloudy,No,Yes,Yes,Yes,No,No,Moderate
2025-06-29,42.0,39.9,1020.9,15.5,27,7.2,NE,0.1,Partly Cloudy,No,No,No,No,No,No,High
2025-06-30,30.8,49.1,1017.1,11.6,59,8.9,SE,21.2,Heavy Rain,Yes,Yes,No,No,No,No,High
2025-07-01,21.9,35.4,1004.1,31.0,90,10.4,SW,19.4,Light Rain,Yes,Yes,No,Yes,Yes,Yes,Moderate
2025-07-02,20.6,63.7,1008.3,4.4,78,10.6,N,0.1,Cloudy,No,Yes,No,No,Yes,No,Moderate
2025-07-03,29.9,79.5,1015.4,1.0,16,6.3,NW,0.3,Sunny,No,No,Yes,No,No,No,Moderate
2025-07-04,25.7,92.0,1003.4,19.5,30,7.5,W,11.2,Light Rain,Yes,Yes,Yes,No,No,Yes,Moderate
2025-07-05,31.3,69.2,1017.0,12.0,79,8.8,S,26.6,Heavy Rain,Yes,No,No,No,Yes,No,High
2025-07-06,29.8,94.1,1010.3,7.8,30,7.3,NW,0.1,Partly Cloudy,No,Yes,Yes,No,No,No,Moderate
2025-07-07,26.6,45.9,1009.4,21.7,49,12.8,SE,0.5,Partly Cloudy,No,Yes,No,No,No,No,Moderate
2025-07-08,21.9,40.7,1017.0,18.0,69,9.5,NW,0.3,Partly Cloudy,No,No,No,No,No,No,Moderate
2025-07-09,17.9,67.1,1015.1,11.5,31,10.2,SW,0.7,Partly Cloudy,No,No,No,No,No,No,Low
2025-07-10,24.3,74.1,1009.5,5.8,58,10.0,SW,18.9,Light Rain,Yes,Yes,Yes,No,No,No,Moderate
2025-07-11,32.1,67.5,1020.1,23.0,22,11.5,NE,0.1,Sunny,No,No,No,No,No,No,High
2025-07-12,28.3,34.9,1004.4,21.2,40,8.5,NW,0.7,Partly Cloudy,No,No,No,No,No,Yes,Moderate
2025-07-13,19.5,66.6,1016.3,15.2,63,4.1,SE,0.6,Partly Cloudy,No,No,No,No,No,No,Low
2025-07-14,28.0,47.1,1016.2,30.8,15,9.2,NE,0.1,Sunny,No,No,No,Yes,No,No,Moderate
2025-07-15,29.3,78.7,1009.8,7.4,66,6.0,N,0.8,Partly Cloudy,No,Yes,Yes,No,No,No,Moderate
2025-07-16,21.7,73.9,1014.3,3.8,55,6.4,S,0.3,Partly Cloudy,No,No,Yes,No,No,No,Moderate
2025-07-17,27.9,53.0,1003.2,10.5,69,9.8,S,14.0,Light Rain,Yes,No,No,No,No,Yes,Moderate
2025-07-18,27.3,59.8,1018.5,15.6,61,11.7,SW,0.1,Partly Cloudy,No,No,No,No,No,No,Moderate
2025-07-19,20.1,51.1,1010.7,17.9,89,8.1,NW,0.5,Cloudy,No,No,No,No,Yes,No,Moderate
2025-07-20,29.1,67.0,1008.3,14.1,58,8.9,N,6.7,Light Rain,Yes,Yes,No,No,No,No,Moderate
2025-07-21,30.4,83.3,1019.3,18.8,44,13.1,SW,1.4,Partly Cloudy,No,Yes,Yes,No,No,No,High
2025-07-22,33.5,52.2,1007.1,6.0,58,8.7,NE,24.8,Heavy Rain,Yes,Yes,No,No,No,Yes,High
2025-07-23,33.3,76.1,1002.1,27.6,69,15.0,W,11.7,Light Rain,Yes,Yes,Yes,Yes,No,Yes,High
2025-07-24,18.7,59.5,1001.1,15.3,56,9.7,W,0.5,Partly Cloudy,No,No,No,No,No,Yes,Low
2025-07-25,21.4,55.3,1016.2,24.9,56,2.7,S,1.0,Partly Cloudy,No,No,No,No,No,No,Moderate
2025-07-26,30.1,66.3,1003.0,18.7,37,10.3,SW,0.7,Partly Cloudy,No,No,No,No,No,Yes,High
2025-07-27,30.1,51.4,1024.3,19.7,38,9.1,E,0.9,Partly Cloudy,No,No,No,No,No,No,High
2025-07-28,30.1,59.1,997.4,20.6,20,11.9,S,1.2,Sunny,No,Yes,No,No,No,Yes,High
2025-07-29,42.0,48.8,1023.9,19.6,99,10.0,W,1.6,Cloudy,No,No,No,No,Yes,No,High
2025-07-30,30.4,98.0,1013.5,21.1,24,7.6,SE,13.5,Light Rain,Yes,No,Yes,No,No,No,High
2025-07-31,33.8,68.6,1011.3,26.6,38,4.3,SE,30.7,Heavy Rain,Yes,Yes,No,Yes,No,No,High
2025-08-01,32.7,56.8,1008.2,17.6,37,7.4,S,4.4,Partly Cloudy,Yes,Yes,No,No,No,No,High
2025-08-02,30.9,71.4,1014.8,21.7,77,5.4,W,12.0,Light Rain,Yes,Yes,Yes,No,Yes,No,High
2025-08-03,25.1,66.2,1011.7,15.3,48,6.3,E,1.8,Partly Cloudy,No,Yes,No,No,No,No,Moderate
